epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,347.063,0.72019,0.5167,0.98569,0.90407,0.93702,0.96629,0.75681,0.84971,0.52533,1.07207,0.000290158,0.000290158,0.000290158
163,348.658,0.72729,0.50874,0.98641,0.89282,0.93513,0.96298,0.75867,0.83835,0.52408,1.07003,0.000283085,0.000283085,0.000283085
164,350.314,0.69249,0.48024,0.96702,0.8971,0.93626,0.95846,0.7586,0.82899,0.52317,1.07107,0.000276011,0.000276011,0.000276011
165,352.262,0.71595,0.50486,0.98801,0.91238,0.92175,0.95076,0.75598,0.83553,0.52596,1.06997,0.000268938,0.000268938,0.000268938
166,354.056,0.70303,0.4975,0.9741,0.90143,0.92205,0.95387,0.75284,0.83424,0.5444,1.06551,0.000261864,0.000261864,0.000261864
167,355.567,0.68536,0.47759,0.97145,0.93134,0.93431,0.96606,0.76671,0.81713,0.50451,1.05343,0.000254791,0.000254791,0.000254791
168,357.145,0.72627,0.49465,0.98044,0.91504,0.94174,0.96754,0.768,0.80311,0.50878,1.05287,0.000247717,0.000247717,0.000247717
169,358.704,0.73046,0.49083,0.99428,0.91073,0.94335,0.96662,0.7753,0.78649,0.49559,1.04476,0.000240644,0.000240644,0.000240644
170,360.263,0.72038,0.50182,0.98543,0.90835,0.93591,0.96481,0.77603,0.80266,0.49701,1.04876,0.00023357,0.00023357,0.00023357
171,361.867,0.70513,0.49542,0.97197,0.90076,0.95517,0.9636,0.77317,0.79252,0.48801,1.04521,0.000226497,0.000226497,0.000226497
172,363.653,0.69412,0.49762,0.98296,0.91687,0.94582,0.96489,0.77645,0.78231,0.48273,1.03908,0.000219423,0.000219423,0.000219423
173,365.241,0.6634,0.48115,0.95379,0.92079,0.94116,0.97169,0.77911,0.7794,0.46817,1.04009,0.000212349,0.000212349,0.000212349
174,366.766,0.68176,0.47646,0.96241,0.9189,0.93873,0.97271,0.78081,0.77176,0.4688,1.03914,0.000205276,0.000205276,0.000205276
175,368.34,0.70978,0.49266,0.9691,0.91778,0.94858,0.97294,0.78078,0.78327,0.46443,1.0453,0.000198202,0.000198202,0.000198202
176,369.884,0.67857,0.47632,0.97411,0.93963,0.93633,0.9738,0.7783,0.79522,0.45952,1.05407,0.000191129,0.000191129,0.000191129
177,371.447,0.6836,0.47943,0.95965,0.93712,0.94911,0.97317,0.78149,0.80349,0.47048,1.05836,0.000184055,0.000184055,0.000184055
178,373.003,0.68985,0.47141,0.96906,0.93593,0.95009,0.97001,0.77978,0.80241,0.47788,1.05672,0.000176982,0.000176982,0.000176982
179,374.742,0.69044,0.48438,0.9866,0.9264,0.94476,0.96667,0.77253,0.82157,0.49651,1.0678,0.000169908,0.000169908,0.000169908
